学年,対象の漢字,読み,文章,ぶんしょう
2,点,てん,{打}ち{上}げ{花火}に[点]{火}して、すぐはなれる。,{う}ち{あ}げ{はなび}に[てん]{か}して、すぐはなれる。
2,父,ちち,[父]の{日}におくり{物}をする。,[ちち]の{ひ}におくり{もの}をする。
2,父,ふ,{授業参観}の{日}はいろんな{子}の[父]{母}が{来}る。,{じゅぎょうさんかん}の{ひ}はいろんな{こ}の[ふ]{ぼ}が{く}る。
2,牛,うし,{牧場}で[牛]の{乳}しぼりを{体験}する。,{ぼくじょう}で[うし]の{ちち}しぼりを{たいけん}する。
2,牛,ぎゅう,たくさんの[牛]{乳}を{使}っておかしを{作}る。,たくさんの[ぎゅう]{にゅう}を{つか}っておかしを{つく}る。
2,理,り,{調}[理]{実習}のためのエプロンを{忘}れる。,{ちょう}[り]{じっしゅう}のためのエプロンを{わす}れる。
2,用,もち,{色}えんぴつを[用]いてリアルな{絵}をかく。,{いろ}えんぴつを[もち]いてリアルな{え}をかく。
2,用,よう,{私}の{家族}はみんな{不器}[用]で、さいほうが{苦手}だ。,{わたくし}の{かぞく}はみんな{ぶき}[よう]で、さいほうが{にがて}だ。
2,画,かく,{温泉旅行}の{計}[画]を{家族}みんなで{話}し{合}う。,{おんせんりょこう}の{けい}[かく]を{かぞく}みんなで{はな}し{あ}う。
2,画,が,{先生}にたのまれて{図工室}から[画]{用紙}を{持}ってくる。,{せんせい}にたのまれて{ずこうしつ}から[が]{ようし}を{も}ってくる。
2,番,ばん,{相澤}くんの{出席}[番]{号}は{一番}だ。,{あいざわ}くんの{しゅっせき}[ばん]{ごう}は{いちばん}だ。
2,直,じき,{皿}を{割}ったことを{正}[直]にあやまる。,{さら}を{わ}ったことを{しょう}[じき]にあやまる。
2,直,ただ,{新}しい{宿題}が{出}たら[直]ちに{取}り{組}んでいる。,{あたら}しい{しゅくだい}が{で}たら[ただ]ちに{と}り{く}んでいる。
2,直,ちょく,{定規}を{使}って[直]{線}を{引}く。,{じょうぎ}を{つか}って[ちょく]{せん}を{ひ}く。
2,直,なお,こわれたイスをあっという{間}に[直]した。,こわれたイスをあっという{ま}に[なお]した。
2,矢,や,{看板}の[矢]{印}をたどって、お{店}に{向}かう。,{かんばん}の[や]{じるし}をたどって、お{みせ}に{む}かう。
2,知,し,[知]り{合}いといっしょにお{昼}ご{飯}を{食}べる。,[し]り{あ}いといっしょにお{ひる}ご{はん}を{た}べる。
2,知,ち,スマホにメールの{通}[知]が{届}く。,スマホにメールの{つう}[ち]が{とど}く。
2,社,しゃ,{大人}になって{会}[社]に{就職}する。,{おとな}になって{かい}[しゃ]に{しゅうしょく}する。
2,社,やしろ,お[社]をこわして{神様}にたたられる。,お[やしろ]をこわして{かみさま}にたたられる。
2,秋,あき,[秋]になって{山}がきれいな{赤色}になる。,[あき]になって{やま}がきれいな{あかいろ}になる。
2,秋,しゅう,{最近}すずしくなってきた。もうすぐ[秋]{分}だね。,{さいきん}すずしくなってきた。もうすぐ[しゅう]{ぶん}だね。
2,科,か,{教}[科]{書}に{落書}きしていたらおこられた。,{きょう}[か]{しょ}に{らくが}きしていたらおこられた。
2,答,こた,{他}の{人}の[答]えをぬすみ{見}たのがばれる。,{ほか}の{ひと}の[こた]えをぬすみ{み}たのがばれる。
2,答,こた,{先生}からの{質問}に[答]える。,{せんせい}からの{しつもん}に[こた]える。
2,答,とう,テストの{一週間後}に[答]{案}が{返}ってくる。,テストの{いちしゅうかんご}に[とう]{あん}が{かえ}ってくる。
2,算,さん,おつりを{計}[算]して{客}にわたす。,おつりを{けい}[さん]して{きゃく}にわたす。
2,米,こめ,[米]{俵}を{持}って{年}ぐを{納}めに{行}く。,[こめ]{だわら}を{も}って{ねん}ぐを{おさ}めに{い}く。
2,米,べい,アメリカは「[米]{国}」とよばれることがある。,アメリカは「[べい]{こく}」とよばれることがある。
2,米,まい,{母}は{最近}、{無洗}[米]を{買}っているらしい。,{はは}は{さいきん}、{むせん}[まい]を{か}っているらしい。
2,紙,かみ,[紙]で{手}を{切}ってしまう。,[かみ]で{て}を{き}ってしまう。
2,紙,し,{本}の{表}[紙]をよごしてしまった。,{ほん}の{ひょう}[し]をよごしてしまった。
2,細,こま,{玉}ねぎを[細]かく{切}り{刻}む。,{たま}ねぎを[こま]かく{き}り{きざ}む。
2,細,さい,{宝石}がニセ{物}ではないか、[細]{部}まで{調}べる。,{ほうせき}がニセ{もの}ではないか、[さい]{ぶ}まで{しら}べる。
2,細,ほそ,{森}で{拾}った[細]{長}い{枝}をふり{回}す。,{もり}で{ひろ}った[ほそ]{なが}い{えだ}をふり{まわ}す。
2,組,く,{冷蔵庫}の{仕}[組]みを{本}で{調}べる。,{れいぞうこ}の{し}[く]みを{ほん}で{しら}べる。
2,組,くみ,クラスがえで{三}[組]になる。,クラスがえで{さん}[くみ]になる。
2,組,そ,{地域}の{自治会}が[組]{織}される。,{ちいき}の{じちかい}が[そ]{しき}される。
2,絵,え,パレットを{洗}わないでいたら、[絵]の{具}がカチカチになっちゃった。,パレットを{あら}わないでいたら、[え]の{ぐ}がカチカチになっちゃった。
2,線,せん,{電}[線]の{上}にカラスがとまっている。,{でん}[せん]の{うえ}にカラスがとまっている。
2,羽,は,{公園}のハトがいっせいに[羽]ばたく。,{こうえん}のハトがいっせいに[は]ばたく。
2,羽,はね,{空}からカラスの[羽]がひらひらと{落}ちてきた。,{そら}からカラスの[はね]がひらひらと{お}ちてきた。
2,考,かんが,{自分}の[考]えを{他}の{人}に{話}す。,{じぶん}の[かんが]えを{ほか}の{ひと}に{はな}す。
2,考,こう,{冬休}みの{旅行計画}を[考]{案}する。,{ふゆやす}みの{りょこうけいかく}を[こう]{あん}する。
2,聞,き,{校長先生}の{話}をじっとすわって[聞]く。,{こうちょうせんせい}の{はなし}をじっとすわって[き]く。
2,聞,ぶん,{新}[聞]{紙}にのっている{四}コママンガを{読}む。,{しん}[ぶん]{し}にのっている{よん}コママンガを{よ}む。
2,肉,にく,{皮}[肉]を{言}ったけど{通}じてないみたいだ。,{ひ}[にく]を{い}ったけど{つう}じてないみたいだ。
2,自,し,ウソをついて{不}[自]{然}な{態度}になる。,ウソをついて{ふ}[し]{ぜん}な{たいど}になる。
2,自,じ,{今回}のテストは[自]{信}がある。,{こんかい}のテストは[じ]{しん}がある。
2,自,みずか,トイレそうじを[自]ら{進}んで{引}き{受}ける。,トイレそうじを[みずか]ら{すす}んで{ひ}き{う}ける。
2,船,せん,{風}[船]が{空高}く{飛}んでいく。,{ふう}[せん]が{そらたか}く{と}んでいく。
2,船,ふな,{一}か{月間}の[船]{旅}に{出発}する。,{いち}か{げつかん}の[ふな]{たび}に{しゅっぱつ}する。
2,船,ふね,[船]の{近}くをイルカの{群}れが{通}る。,[ふね]の{ちか}くをイルカの{む}れが{とお}る。
2,色,いろ,[色]えんぴつでぬり{絵}をする。,[いろ]えんぴつでぬり{え}をする。
2,色,しき,{芸能人}がサインした[色]{紙}がかざられている。,{げいのうじん}がサインした[しき]{し}がかざられている。
2,色,しょく,{自分}の{暮}らす{町}の{特}[色]について{調}べた。,{じぶん}の{く}らす{まち}の{とく}[しょく]について{しら}べた。
2,茶,ちゃ,お{客}さんにお[茶]を{出}す。,お{きゃく}さんにお[ちゃ]を{だ}す。
2,行,い,おじいちゃんのお{見}まいに{病院}へ[行]く。,おじいちゃんのお{み}まいに{びょういん}へ[い]く。
2,行,おこな,{公民館}で{絵}の{展示会}が[行]われた。,{こうみんかん}で{え}の{てんじかい}が[おこな]われた。
2,行,ぎょう,{会場}に[行]{列}ができている。,{かいじょう}に[ぎょう]{れつ}ができている。
2,行,こう,{最近}、{流}[行]しているデザインの{服}を{買}う。,{さいきん}、{りゅう}[こう]しているデザインの{ふく}を{か}う。
2,行,ゆ,この{物語}の[行]く{末}はどうなるんだろう。,この{ものがたり}の[ゆ]く{すえ}はどうなるんだろう。
2,西,さい,{大阪出身}の{友達}が{関}[西]{弁}で{話}す。,{おおさかしゅっしん}の{ともだち}が{かん}[さい]{べん}で{はな}す。
2,西,せい,{美}しい[西]{洋}の{建物}の{写真}に{見}とれる。,{うつく}しい[せい]{よう}の{たてもの}の{しゃしん}に{み}とれる。
2,西,にし,{夕方}になって{太陽}が[西]にしずんでいく。,{ゆうがた}になって{たいよう}が[にし]にしずんでいく。
2,親,おや,[親]と{大}げんかする。,[おや]と{おお}げんかする。
2,親,した,{山田}くんとは[親]しい{関係}だ。,{やまだ}くんとは[した]しい{かんけい}だ。
2,親,しん,[親]{切}な{人}に{駅}までの{道}を{教}えてもらう。,[しん]{せつ}な{ひと}に{えき}までの{みち}を{おし}えてもらう。
2,角,かく,{分度器}を{使}って[角]{度}を{測}る。,{ぶんどき}を{つか}って[かく]{ど}を{はか}る。
2,角,かど,この[角]を{曲}がれば、{水族館}がある。,この[かど]を{ま}がれば、{すいぞくかん}がある。
2,角,つの,{動物園}で{立派}な[角]の{生}えた{鹿}の{写真}をとった。,{どうぶつえん}で{りっぱ}な[つの]の{は}えた{しか}の{しゃしん}をとった。
2,言,い,だれにも[言]えない{秘密}をかかえる。,だれにも[い]えない{ひみつ}をかかえる。
2,言,げん,パズルに{苦戦}している{弟}に{助}[言]する。,パズルに{くせん}している{おとうと}に{じょ}[げん]する。
2,言,こと,{意味}がわからない[言]{葉}を{辞典}で{調}べる。,{いみ}がわからない[こと]{ば}を{じてん}で{しら}べる。
2,言,ごん,{留守電}に{伝}[言]を{残}して{返事}を{待}つ。,{るすでん}に{でん}[ごん]を{のこ}して{へんじ}を{ま}つ。
2,計,けい,{冬休}みの{宿題}の[計]{画}を{全}く{守}らない。,{ふゆやす}みの{しゅくだい}の[けい]{かく}を{まった}く{まも}らない。
2,計,はか,タイミングを{見}[計]らって{話}し{始}める。,タイミングを{み}[はか]らって{はな}し{はじ}める。
2,記,き,{海外旅行}の[記]{念写真}をさつえいする。,{かいがいりょこう}の[き]{ねんしゃしん}をさつえいする。
2,記,しる,{大事}な{約束}をメモ{帳}に[記]しておく。,{だいじ}な{やくそく}をメモ{ちょう}に[しる]しておく。
2,話,はな,{昔}の{思}い{出}を[話]す。,{むかし}の{おも}い{で}を[はな]す。
2,話,はなし,{先生}の[話]の{後}に{質問}をする。,{せんせい}の[はなし]の{あと}に{しつもん}をする。
2,話,ばなし,{長}[話]に{付}き{合}わされてうんざりする。,{なが}[ばなし]に{つ}き{あ}わされてうんざりする。
2,話,わ,かんちがいで{会}[話]がかみ{合}わなくなる。,かんちがいで{かい}[わ]がかみ{あ}わなくなる。
2,語,かた,{幼}ち{園}の{思}い{出}を[語]る。,{おさな}ち{えん}の{おも}い{で}を[かた]る。
2,語,ご,{国}[語]{辞典}でわからない{言葉}を{調}べる。,{こく}[ご]{じてん}でわからない{ことば}を{しら}べる。
2,読,とう,ここに[読]{点}を{入}れた{方}が{読}みやすいよ。,ここに[とう]{てん}を{い}れた{ほう}が{よ}みやすいよ。
2,読,とく,{昔}の{教科書}である、[読]{本}が{図書館}で{保管}される。,{むかし}の{きょうかしょ}である、[とく]{ほん}が{としょかん}で{ほかん}される。
2,読,どく,[読]{者}からファンレターが{送}られてくる。,[どく]{しゃ}からファンレターが{おく}られてくる。
2,読,よ,{図書室}で{借}りてきた{本}を[読]む。,{としょしつ}で{か}りてきた{ほん}を[よ]む。
2,谷,たに,あの{山}と{山}の[谷]{間}にはきれいな{池}がある。,あの{やま}と{やま}の[たに]{ま}にはきれいな{いけ}がある。
2,買,か,{土地}を{売}り[買]いしてお{金}をかせぐ。,{とち}を{う}り[か]いしてお{かね}をかせぐ。
2,走,そう,{助}[走]をつけてとび{箱}をとびこえる。,{じょ}[そう]をつけてとび{ばこ}をとびこえる。
2,走,はし,{雨}の{中}を{家}まで{急}いで[走]る。,{あめ}の{なか}を{いえ}まで{いそ}いで[はし]る。
2,近,きん,{最}[近]はよく{雨}がふるね。,{さい}[きん]はよく{あめ}がふるね。
2,近,ちか,お{化}けが{後}ろからこっそり[近]づく。,お{ば}けが{うし}ろからこっそり[ちか]づく。
2,通,かよ,{毎週木曜日}にピアノ{教室}に[通]う。,{まいしゅうもくようび}にピアノ{きょうしつ}に[かよ]う。
2,通,つう,この{道}は{工事中}で、[通]{行止}めです。,この{みち}は{こうじちゅう}で、[つう]{こうど}めです。
2,通,とお,{大急}ぎで{改札}を[通]って{電車}に{乗}りこむ。,{おおいそ}ぎで{かいさつ}を[とお]って{でんしゃ}に{の}りこむ。
2,週,しゅう,{先}[週]はとてもいそがしかった。,{せん}[しゅう]はとてもいそがしかった。
2,道,どう,{親}が{先導}して、カモの{親子}が[道]{路}をわたる。,{おや}が{せんどう}して、カモの{おやこ}が[どう]{ろ}をわたる。
2,道,どう,{選挙}の{結果}が{報}[道]される。,{せんきょ}の{けっか}が{ほう}[どう]される。
2,道,みち,{片}[道]{分}だけきっぷを{買}う。,{かた}[みち]{ぶん}だけきっぷを{か}う。
2,遠,えん,{山}の{上}の{展望台}から、{望}[遠]{鏡}で{自分}の{家}を{探}す。,{やま}の{うえ}の{てんぼうだい}から、{ぼう}[えん]{きょう}で{じぶん}の{いえ}を{さが}す。
2,遠,とお,[遠]くの{町}に{住}んでいるおじいちゃんと{電話}する。,[とお]くの{まち}に{す}んでいるおじいちゃんと{でんわ}する。
2,里,さと,{小}さな[里]から{世界的}な{音楽家}が{生}まれる。,{ちい}さな[さと]から{せかいてき}な{おんがくか}が{う}まれる。
2,里,り,{戦国武将}の{郷}[里]に{銅像}が{建}てられる。,{せんごくぶしょう}の{きょう}[り]に{どうぞう}が{た}てられる。
2,野,の,{近所}の[野]{原}でピクニックする。,{きんじょ}の[の]{はら}でピクニックする。
2,野,や,サバンナで[野]{生}のライオンに{出}くわす。,サバンナで[や]{せい}のライオンに{で}くわす。
2,長,ちょう,カラオケの{時間}を{延}[長]する。,カラオケの{じかん}を{えん}[ちょう]する。
2,長,なが,かみの{毛}を{細}[長]いリボンでまとめる。,かみの{け}を{ほそ}[なが]いリボンでまとめる。
2,門,もん,{校}[門]の{前}にいる{先生}たちにあいさつする。,{こう}[もん]の{まえ}にいる{せんせい}たちにあいさつする。
2,間,あいだ,この[間]、きれいなちょうちょうを{見}たよ。,この[あいだ]、きれいなちょうちょうを{み}たよ。
2,間,かん,{約束}の{時}[間]になっても{友達}が{来}なくていらいらする。,{やくそく}の{じ}[かん]になっても{ともだち}が{こ}なくていらいらする。
2,間,けん,おばさんたちが{集}まって{世}[間]{話}をする。,おばさんたちが{あつ}まって{せ}[けん]{はなし}をする。
2,間,ま,{勉強}の{合}[間]におかしを{食}べる。,{べんきょう}の{あい}[ま]におかしを{た}べる。
2,雪,せつ,{降}[雪]でバスが{大}きくおくれる。,{こう}[せつ]でバスが{おお}きくおくれる。
2,雪,ゆき,[雪]の{上}をスキーですべる。,[ゆき]の{うえ}をスキーですべる。
2,雲,うん,{積乱}[雲]が{見}えた。もうすぐ{大雨}が{降}るぞ。,{せきらん}[うん]が{み}えた。もうすぐ{おおあめ}が{ふ}るぞ。
2,雲,くも,あの[雲]は{形}がネコに{似}ているね。,あの[くも]は{かたち}がネコに{に}ているね。
2,電,でん,アンテナで[電]{波}をキャッチする。,アンテナで[でん]{ぱ}をキャッチする。
2,頭,あたま,{飼}っているネコの[頭]をなでる。,{か}っているネコの[あたま]をなでる。
2,頭,ず,ひどい[頭]{痛}がするので{病院}に{行}った。,ひどい[ず]{つう}がするので{びょういん}に{い}った。
2,頭,とう,{政治家}が{街}[頭]で{演説}している。,{せいじか}が{がい}[とう]で{えんぜつ}している。
2,顔,かお,{木下}くん、だいじょうぶ？[顔]{色}{悪}いよ。,{きのした}くん、だいじょうぶ？[かお]{いろ}{わる}いよ。
2,顔,がん,[顔]{面}にボールがぶつかって{鼻血}が{出}た。,[がん]{めん}にボールがぶつかって{はなじ}が{で}た。
2,風,かざ,[風]{上}からけむりが{流}れてくる。,[かざ]{かみ}からけむりが{なが}れてくる。
2,風,かぜ,かさをさせば{飛}べそうなくらい、{今日}は[風]が{強}い。,かさをさせば{と}べそうなくらい、{きょう}は[かぜ]が{つよ}い。
2,風,ふう,レストランで{和}[風]ハンバーグを{注文}する。,レストランで{わ}[ふう]ハンバーグを{ちゅうもん}する。
2,食,く,たくさんあったおかしを{全部}[食]いつくした。,たくさんあったおかしを{ぜんぶ}[く]いつくした。
2,食,た,{朝}から{何}も[食]べてないから{空腹}だ。,{あさ}から{なん}も[た]べてないから{くうふく}だ。
2,食,しょく,かぜをひいて[食]{欲}がなくなる。,かぜをひいて[しょく]{よく}がなくなる。
2,食,た,いただきますを{言}ってから[食]べ{始}める。,いただきますを{い}ってから[た]べ{はじ}める。
2,首,くび,{飼}っている{犬}に[首]{輪}をつける。,{か}っている{いぬ}に[くび]{わ}をつける。
2,首,しゅ,イギリスの[首]{都}を{地図帳}で{調}べる。,イギリスの[しゅ]{と}を{ちずちょう}で{しら}べる。
2,馬,うま,[馬]に{乗}って{平原}をかけぬける。,[うま]に{の}って{へいげん}をかけぬける。
2,馬,ば,{子供}がいる{知}り{合}いに{木}[馬]をおくる。,{こども}がいる{し}り{あ}いに{もく}[ば]をおくる。
2,馬,ま,{群}[馬]{県}にある、{富岡製糸場}は{有名}だ。,{ぐん}[ま]{けん}にある、{とみおかせいしじょう}は{ゆうめい}だ。
2,高,こう,{誕生日}プレゼントをもらって{最}[高]の{気分}になる。,{たんじょうび}プレゼントをもらって{さい}[こう]の{きぶん}になる。
2,高,たか,[高]いお{金}をはらって{指輪}を{買}う。,[たか]いお{かね}をはらって{ゆびわ}を{か}う。
2,魚,うお,すし{職人}が[魚]{市場}でたくさん{材料}を{買}っていった。,すし{しょくにん}が[うお]{いちば}でたくさん{ざいりょう}を{か}っていった。
2,魚,ぎょ,ここの{海}には{人}[魚]がいるといううわさがある。,ここの{うみ}には{にん}[ぎょ]がいるといううわさがある。
2,魚,さかな,つったばかりの[魚]を{焼}いて{食}べる。,つったばかりの[さかな]を{や}いて{た}べる。
2,鳥,ちょう,そう{眼鏡}で{野}[鳥]を{観察}する。,そう{めがね}で{や}[ちょう]を{かんさつ}する。
2,鳥,とり,[鳥]にえさをむやみにあげてはいけない。,[とり]にえさをむやみにあげてはいけない。
2,鳴,な,ウグイスの[鳴]き{声}はかなり{特}ちょう{的}だ。,ウグイスの[な]き{ごえ}はかなり{とく}ちょう{てき}だ。
2,鳴,な,{授業開始}を{知}らせるチャイムが[鳴]った。,{じゅぎょうかいし}を{し}らせるチャイムが[な]った。
2,鳴,めい,{虫}を{見}て{悲}[鳴]を{上}げる。,{むし}を{み}て{ひ}[めい]を{あ}げる。
2,麦,むぎ,コップに{入}った[麦]{茶}を{一気飲}みする。,コップに{はい}った[むぎ]{ちゃ}を{いっきの}みする。
2,黄,おう,ピラミッドの{中}から、[黄]{金}で{出来}た{仮面}が{見}つかった。,ピラミッドの{なか}から、[おう]{ごん}で{でき}た{かめん}が{み}つかった。
2,黄,き,{森}の{絵}をかくために、[黄]{緑色}の{絵}の{具}をたくさん{持}ってきた。,{もり}の{え}をかくために、[き]{みどりいろ}の{え}の{ぐ}をたくさん{も}ってきた。
2,黒,くろ,{近所}の{川}で{真}っ[黒]な{石}を{見}つけた。,{きんじょ}の{かわ}で{ま}っ[くろ]な{いし}を{み}つけた。
2,黒,こく,{休}み{時間}に[黒]{板}に{落書}きして{遊}ぶ。,{やす}み{じかん}に[こく]{ばん}に{らくが}きして{あそ}ぶ。
3,丁,ちょう,{切}れ{味}が{悪}くなった{包}[丁]をとぐ。,{き}れ{あじ}が{わる}くなった{ほう}[ちょう]をとぐ。
3,世,せ,[世]{界的}に{有名}なバンドが{日本}に{来}た。,[せ]{かいてき}に{ゆうめい}なバンドが{にっぽん}に{き}た。
3,世,せい,{後}[世]の{教科書}にのるほどの{事件}がおこる。,{こう}[せい]の{きょうかしょ}にのるほどの{じけん}がおこる。
3,世,よ,[世]の{中}には{様々}な{考}え{方}がある。,[よ]の{なか}には{さまざま}な{かんが}え{かた}がある。
3,両,りょう,{船}に、{輸出}する{車}[両]が{積}みこまれる。,{ふね}に、{ゆしゅつ}する{しゃ}[りょう]が{つ}みこまれる。
3,主,おも,{空気}は[主]にちっ{素}と{酸素}でできている。,{くうき}は[おも]にちっ{そ}と{さんそ}でできている。
3,主,ぬし,{地}[主]に{土地}を{借}りた{分}のお{金}をはらう。,{じ}[ぬし]に{とち}を{か}りた{ぶん}のお{かね}をはらう。
3,乗,じょう,{最近}のはやりに{便}[乗]する。,{さいきん}のはやりに{びん}[じょう]する。
3,乗,の,[乗]り{物図}かんを{夢中}になって{読}んだ。,[の]り{ものず}かんを{むちゅう}になって{よ}んだ。
3,予,よ,[予]{告編}を{見}て、その{映画}が{気}になった。,[よ]{こくへん}を{み}て、その{えい}が{がき}になった。
3,事,こと,{調査}でとんでもない[事]がわかった。,{ちょうさ}でとんでもない[こと]がわかった。
3,事,じ,{楽}しく{話}しながら{食}[事]をする。,{たの}しく{はな}しながら{しょく}[じ]をする。
3,仕,し,うで{時計}は{複雑}な[仕]{組}みで{動}いている。,うで{とけい}は{ふくざつ}な[し]{く}みで{うご}いている。
3,仕,つか,{家来}として{王}に[仕]える。,{けらい}として{おう}に[つか]える。
3,他,た,[他]{人}から{言}われたことを{気}にし{続}ける。,[た]{にん}から{い}われたことを{き}にし{つづ}ける。
3,他,ほか,[他]の{色}のペンはないの？,[ほか]の{いろ}のペンはないの？
3,代,か,{消}しゴムの[代]わりに{修正液}を{使}った。,{け}しゴムの[か]わりに{しゅうせいえき}を{つか}った。
3,代,たい,{選手}がけがをしたので{交}[代]する。,{せんしゅ}がけがをしたので{こう}[たい]する。
3,代,だい,この{作家}の[代]{表作}は『{宇宙電車}の{夜}』です。,この{さっか}の[だい]{ひょうさく}は『{うちゅうでんしゃ}の{よる}』です。
3,代,よ,きれいな{模様}の{千}[代]{紙}を{集}める。,きれいな{もよう}の{ち}[よ]{がみ}を{あつ}める。
3,住,じゅう,{近所}の[住]{民}から{苦情}が{来}た。,{きんじょ}の[じゅう]{みん}から{くじょう}が{き}た。
3,住,す,{山}おくのいなかに[住]む。,{やま}おくのいなかに[す]む。
3,使,し,{車}の{修理}に{特別}な{道具}を[使]{用}する。,{くるま}の{しゅうり}に{とくべつ}な{どうぐ}を[し]{よう}する。
3,使,つか,{洗}ざいを[使]ってお{皿}を{洗}う。,{せん}ざいを[つか]ってお{さら}を{あら}う。
3,係,かかり,{見}つけた{落}とし{物}を[係]{員}さんに{預}ける。,{み}つけた{お}とし{もの}を[かかり]{いん}さんに{あず}ける。
3,係,けい,{授業}とは{関}[係]ないことを{考}える。,{じゅぎょう}とは{かん}[けい]ないことを{かんが}える。
3,倍,ばい,{二}つの{数}の{最小公}[倍]{数}を{答}える。,{ふた}つの{かず}の{さいしょうこう}[ばい]{すう}を{こた}える。
3,全,すべ,{家}の{中}の[全]てのゴミを{捨}てる。,{いえ}の{なか}の[すべ]てのゴミを{す}てる。
3,全,ぜん,{安}[全]のためヘルメットをつける。,{あん}[ぜん]のためヘルメットをつける。
3,全,まった,{二人}とも[全]く{同}じ{時間}に{来}た。,{ふたり}とも[まった]く{おな}じ{じかん}に{き}た。
3,具,ぐ,{筆箱}を{忘}れた{友達}に{筆記用}[具]を{貸}してあげる。,{ふでばこ}を{わす}れた{ともだち}に{ひっきよう}[ぐ]を{か}してあげる。
3,写,うつ,{黒板}に{書}いてあることをノートに{書}き[写]す。,{こくばん}に{か}いてあることをノートに{か}き[うつ]す。
3,写,しゃ,{新作映画}の{試}[写]{会}に{当選}する。,{しんさくえいが}の{し}[しゃ]{かい}に{とうせん}する。
3,列,れつ,{知}り{合}いのけっこん{式}に{参}[列]する。,{し}り{あ}いのけっこん{しき}に{さん}[れつ]する。
3,助,じょ,{自転車}から{補}[助]{輪}を{外}す。,{じてんしゃ}から{ほ}[じょ]{りん}を{はず}す。
3,助,たす,{困}っている{人}を[助]ける。,{こま}っている{ひと}を[たす]ける。
3,勉,べん,[勉]{強机}の{上}に{今日}の{宿題}を{広}げる。,[べん]{きょうつくえ}の{うえ}に{きょう}の{しゅくだい}を{ひろ}げる。
3,動,うご,{本}だなを[動]かすとかくし{通路}があった。,{ほん}だなを[うご]かすとかくし{つうろ}があった。
3,動,うご,{音}を{立}ててスポーツカーが[動]きだす。,{おと}を{た}ててスポーツカーが[うご]きだす。
3,動,どう,ダンスに{慣}れて[動]{作}がなめらかになる。,ダンスに{な}れて[どう]{さ}がなめらかになる。
3,勝,か,{次}の{相手}に[勝]てば{優勝}だ。,{つぎ}の{あいて}に[か]てば{ゆうしょう}だ。
3,勝,しょう,{大会}の{決}[勝]{戦}まで{進}む。,{たいかい}の{けっ}[しょう]{せん}まで{すす}む。
3,化,か,ドイツの{文}[化]をこの{本}で{初}めて{知}った。,ドイツの{ぶん}[か]をこの{ほん}で{はじ}めて{し}った。
3,化,ば,{二階}のトイレにお[化]けが{出}るらしい。,{にかい}のトイレにお[ば]けが{で}るらしい。
3,区,く,{宿題}が{一}[区]{切}りついたので{休}けいする。,{しゅくだい}が{いち}[く]{き}りついたので{きゅう}けいする。
3,医,い,お[医]{者}さんにワクチンを{打}ってもらう。,お[い]{しゃ}さんにワクチンを{う}ってもらう。
3,去,きょ,パソコンの{中}のいらないデータを{消}[去]する。,パソコンの{なか}のいらないデータを{しょう}[きょ]する。
3,去,こ,タイムマシンで{過}[去]の{自分}に{会}いに{行}く。,タイムマシンで{か}[こ]の{じぶん}に{あ}いに{い}く。
3,去,さ,{事件}を{解決}した{探}ていは[去]っていった。,{じけん}を{かいけつ}した{もとむ}ていは[さ]っていった。
3,反,そ,{日本刀}は[反]り{返}った{形}が{特}ちょう{的}だ。,{にほんとう}は[そ]り{かえ}った{かたち}が{とく}ちょう{てき}だ。
3,反,はん,{道}の[反]{対側}にわたる。,{みち}の[はん]{たいがわ}にわたる。
3,取,しゅ,{自動車}のめん{許}を[取]{得}する。,{じどうしゃ}のめん{もと}を[しゅ]{とく}する。
3,取,と,[取]り{引}きをして{食}べ{物}を{手}に{入}れる。,[と]り{ひ}きをして{た}べ{もの}を{て}に{い}れる。
3,受,う,{宅配便}の{荷物}を[受]け{取}る。,{たくはいびん}の{にもつ}を[う]け{と}る。
3,受,じゅ,ラジオの{放送}を[受]{信}する。,ラジオの{ほうそう}を[じゅ]{しん}する。
3,号,ごう,{出席番}[号]{順}に{並}んで{進}む。,{しゅっせきばん}[ごう]{じゅん}に{なら}んで{すす}む。
3,向,こう,{筋}トレで{体力}を[向]{上}させる。,{きん}トレで{たいりょく}を[こう]{じょう}させる。
3,向,む,[向]かい{風}が{強}くて{自転車}が{進}まない。,[む]かい{かぜ}が{つよ}くて{じてんしゃ}が{すす}まない。
3,君,きみ,[君]のそのペン、キレイな{色}だね。,[きみ]のそのペン、キレイな{いろ}だね。
3,君,くん,{好}きなボクシング{選手}がチャンピオンに[君]{臨}する。,{す}きなボクシング{せんしゅ}がチャンピオンに[くん]{りん}する。
3,味,あじ,おすしをじっくり[味]わいながら{食}べる。,おすしをじっくり[あじ]わいながら{た}べる。
3,味,あじ,これ、{変}な[味]すると{思}ったらくさってるじゃん！,これ、{へん}な[あじ]すると{おも}ったらくさってるじゃん！
3,味,み,{好}きなマンガがきっかけで{音楽}に{興}[味]を{持}つ。,{す}きなマンガがきっかけで{おんがく}に{きょう}[み]を{も}つ。
3,命,いのち,{険}しい{山}に[命]がけで{登山}する。,{けわ}しい{やま}に[いのち]がけで{とざん}する。
3,命,めい,{病気}やけがの{人}を{助}けるのが、{医者}の{使}[命]です。,{びょうき}やけがの{ひと}を{たす}けるのが、{いしゃ}の{し}[めい]です。
3,和,わ,{争}いのない{平}[和]な{暮}らしをする。,{あらそ}いのない{へい}[わ]な{く}らしをする。
