学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
2,寺,てら,お[寺]でざぜんを{組}んで{修行}する。,お[てら]でざぜんを{く}んで{しゅぎょう}する。,They form a zazen and practice at the temple.,Forman zazen y practican prácticas ascéticas en el templo.
2,少,しょう,ダイエットで{体重}が{減}[少]する。,ダイエットで{たいじゅう}が{げん}[しょう]する。,Lose weight by dieting.,Bajar de peso haciendo dieta.
2,少,すく,ばつとしておこづかいを[少]なくされる。,ばつとしておこづかいを[すく]なくされる。,My allowance is surprisingly reduced.,Mi asignación se reduce sorprendentemente.
2,少,すこ,ラーメンに[少]しだけコショウをかける。,ラーメンに[すこ]しだけコショウをかける。,Sprinkle a little pepper on the ramen.,Espolvorea un poco de pimienta sobre el ramen.
2,岩,いわ,{森}の{中}の[岩]にこけが{生}えている。,{もり}の{なか}の[いわ]にこけが{は}えている。,Moss grows on a rock in the forest.,Moss crece sobre una roca en el bosque.
2,岩,がん,{近所}の{地層}から{火山}[岩]が{見}つかった。,{きんじょ}の{ちそう}から{かざん}[がん]が{み}つかった。,Volcanic rock was found in nearby strata.,Se encontró roca volcánica en estratos cercanos.
2,工,く,きれいなガラス{細}[工]の{作品}が{売}られていた。,きれいなガラス{さい}[く]の{さくひん}が{う}られていた。,Beautiful glassworks were on sale.,Se vendieron hermosas cristalerías.
2,工,こう,いつも{通}っている{道}が[工]{事中}だった。,いつも{かよ}っている{みち}が[こう]{じちゅう}だった。,The road I usually take was under construction.,El camino que suelo tomar estaba en construcción.
2,市,いち,{朝}[市]で{新}せんな{野菜}や{魚}を{買}う。,{あさ}[いち]で{しん}せんな{やさい}や{さかな}を{か}う。,Buy fresh vegetables and fish at the morning market.,Compre verduras y pescado frescos en el mercado matutino.
2,市,し,[市]{役所}から{大事}な{手紙}が{届}いた。,[し]{やくしょ}から{だいじ}な{てがみ}が{とど}いた。,An important letter arrived from city hall.,Llegó una carta importante del ayuntamiento.
2,帰,かえ,[帰]り{道}でかわいい{子}ねこと{会}った。,[かえ]り{みち}でかわいい{こ}ねこと{あ}った。,I met a cute kitten on the way home.,Me encontré con un lindo gatito de camino a casa.
2,帰,き,{入院}していた{選手}が{昨日復}[帰]した。,{にゅういん}していた{せんしゅ}が{}[き]した。,The player who was hospitalized returned yesterday.,El jugador que estuvo hospitalizado regresó ayer.
2,広,こう,[広]{告}のチラシを{受}け{取}る。,[こう]{こく}のチラシを{う}け{と}る。,Receive advertising flyers.,Recibir folletos publicitarios.
2,広,ひろ,{野原}にシートを[広]げてピクニックする。,{のはら}にシートを[ひろ]げてピクニックする。,Spread out a sheet in the field and have a picnic.,Extiende una sábana en el campo y haz un picnic.
2,店,てん,{駅}の{売}[店]でお{弁当}を{買}う。,{えき}の{ばい}[てん]でお{べんとう}を{か}う。,Buy a bento box at the station store.,Compra una caja bento en la tienda de la estación.
2,店,みせ,[店]の{前}に{看板}を{出}す。,[みせ]の{まえ}に{かんばん}を{だ}す。,Put up a sign in front of the store.,Coloque un cartel frente a la tienda.
2,弓,ゆみ,{戦国時代}に{作}られた[弓]{矢}が{資料館}に{展示}されている。,{せんごくじだい}に{つく}られた[ゆみ]{や}が{しりょうかん}に{てんじ}されている。,Bows and arrows made during the Sengoku period are on display at the museum.,En el museo se exhiben arcos y flechas fabricados durante el período Sengoku.
2,引,いん,{好}きだったプロ{野球選手}が、ケガをして[引]{退}してしまった。,{す}きだったプロ{やきゅうせんしゅ}が、ケガをして[いん]{たい}してしまった。,My favorite professional baseball player retired due to injury.,Mi jugador de béisbol profesional favorito se retiró debido a una lesión.
2,引,ひ,{土}から{出}てきたミミズをつついたら、{穴}の{中}に[引]っこんでいった。,{つち}から{で}てきたミミズをつついたら、{あな}の{なか}に[ひ]っこんでいった。,"When I poked the earthworm that came out of the soil, it retreated into the hole.","Cuando pinché la lombriz que salió del suelo, se retiró al agujero."
2,弟,おとうと,[弟]から{電話}がかかってくる。,[おとうと]から{でんわ}がかかってくる。,I get a call from my brother.,Recibo una llamada de mi hermano.
2,弟,だい,{私}にはかなり{年}のはなれた{兄}[弟]がいる。,{わたくし}にはかなり{とし}のはなれた{きょう}[だい]がいる。,I have a brother who is quite old.,Tengo un hermano que es bastante mayor.
2,弱,じゃく,{強}[弱]をつけた{話}し{方}で{説明}する。,{きょう}[じゃく]をつけた{はな}し{かた}で{せつめい}する。,Explain using emphasis.,Explique usando énfasis.
2,弱,よわ,なべのお{湯}がふっとうしたので{火}を[弱]めた。,なべのお{ゆ}がふっとうしたので{ひ}を[よわ]めた。,"The water in the pot was simmering, so I lowered the heat.","El agua de la olla estaba hirviendo, así que bajé el fuego."
2,強,きょう,{学級新聞}の{見出}しが{赤}ペンで[強]{調}されている。,{がっきゅうしんぶん}の{みだ}しが{あか}ペンで[きょう]{ちょう}されている。,The heading of the class newspaper is highlighted with a red pen.,El título del periódico de la clase está resaltado con un bolígrafo rojo.
2,強,つよ,{台風}でとても[強]い{風}がふいている。,{たいふう}でとても[つよ]い{かぜ}がふいている。,There is a typhoon and very strong winds are blowing.,Hay un tifón y soplan vientos muy fuertes.
2,当,あ,{保健室}に{行}ってけがの{手}[当]てをしてもらう。,{ほけんしつ}に{い}ってけがの{て}[あ]てをしてもらう。,Go to the health room and have your injury treated.,Vaya a la sala de salud y trate su lesión.
2,当,とう,{犯人}が{観念}して、{本}[当]のことを{話}す。,{はんにん}が{かんねん}して、{ほん}[とう]のことを{はな}す。,The criminal becomes aware and tells the truth.,El criminal toma conciencia y dice la verdad.
2,形,かた,{祖母}の[形]{見}を{大切}にしまっておく。,{そぼ}の[かた]{み}を{たいせつ}にしまっておく。,I treasure my grandmother's keepsakes.,Atesoro los recuerdos de mi abuela.
2,形,かたち,{物}を{入}れすぎて、ダンボール{箱}の[形]がゆがむ。,{もの}を{い}れすぎて、ダンボール{ばこ}の[かたち]がゆがむ。,"If you put too many things in it, the shape of the cardboard box will become distorted.","Si pones demasiadas cosas dentro, la forma de la caja de cartón se distorsionará."
2,形,ぎょう,{誕生日}プレゼントの{人}[形]を{大切}にする。,{たんじょうび}プレゼントの{にん}[ぎょう]を{たいせつ}にする。,Cherish the doll that was your birthday present.,Aprecia la muñeca que fue tu regalo de cumpleaños.
2,形,けい,{台}[形]の{面積}を{答}える{問題}でまちがえる。,{だい}[けい]の{めんせき}を{こた}える{もんだい}でまちがえる。,I made a mistake in answering the area of ​​a trapezoid.,Cometí un error al responder el área de un trapezoide.
2,後,あと,バケツの{水}で{花火}の[後]{始末}をする。,バケツの{みず}で{はなび}の[あと]{しまつ}をする。,Clean up after fireworks with a bucket of water.,Limpiar después de los fuegos artificiales con un balde de agua.
2,後,うし,{車}の[後]ろによごれが{付}いている。,{くるま}の[うし]ろによごれが{つ}いている。,There is dirt on the back of the car.,Hay suciedad en la parte trasera del coche.
2,後,こう,この{物語}は[後]{半}からおどろきの{展開}が{続}く。,この{ものがたり}は[こう]{はん}からおどろきの{てんかい}が{つづ}く。,This story continues with surprising developments from the second half onwards.,Esta historia continúa con desarrollos sorprendentes a partir de la segunda mitad.
2,後,ご,{放課}[後]に{近所}の{公園}に{集合}する。,{ほうか}[ご]に{きんじょ}の{こうえん}に{しゅうごう}する。,We meet at a nearby park after school.,Nos reunimos en un parque cercano después de la escuela.
2,後,ご,チョコレートの{最}[後]の{一個}を{横取}りされる。,チョコレートの{さい}[ご]の{いちこ}を{よこど}りされる。,The last piece of chocolate is stolen.,Se roba el último trozo de chocolate.
2,後,のち,{明日}の{天気}は{晴}れ[後]くもりでしょう。,{あした}の{てんき}は{は}れ[のち]くもりでしょう。,Tomorrow's weather will be sunny and then cloudy.,El tiempo de mañana será soleado y luego nublado.
2,心,こころ,{授業中}にねないよう[心]がける。,{じゅぎょうちゅう}にねないよう[こころ]がける。,Try not to fall asleep during class.,Intenta no quedarte dormido durante la clase.
2,心,しん,{台風}の{中}[心]には{雲}がない。,{たいふう}の{ちゅう}[しん]には{くも}がない。,There are no clouds at the center of the typhoon.,No hay nubes en el centro del tifón.
2,思,し,{目}の{前}の{問題}について[思]{考}をめぐらせる。,{め}の{まえ}の{もんだい}について[し]{こう}をめぐらせる。,Think about the problem in front of you.,Piensa en el problema que tienes delante.
2,戸,こ,{一}[戸]{建}ての{家}に{住}む。,{いっ}[こ]{だ}ての{いえ}に{す}む。,Live in a detached house.,Vive en una casa unifamiliar.
2,戸,と,[戸]を{開}いて{部屋}に{入}る。,[と]を{ひら}いて{へや}に{はい}る。,Open the door and enter the room.,Abre la puerta y entra a la habitación.
2,才,さい,{意外}なところで[才]{能}を{発揮}する。,{いがい}なところで[さい]{のう}を{はっき}する。,Show your talent in unexpected places.,Muestra tu talento en lugares inesperados.
2,教,おし,{友達}に{宿題}の{答}えを[教]えてもらった。,{ともだち}に{しゅくだい}の{こた}えを[おし]えてもらった。,My friend told me the answer to my homework.,Mi amigo me dijo la respuesta a mi tarea.
2,教,きょう,{水泳}[教]{室}でクロールのコツを{教}わる。,{すいえい}[きょう]{しつ}でクロールのコツを{おそ}わる。,Learn how to crawl at swimming class.,Aprende a gatear en la clase de natación.
2,教,きょう,{先生}に{説}[教]されて{落}ちこむ。,{せんせい}に{せっ}[きょう]されて{お}ちこむ。,I feel depressed when my teacher lectures me.,Me siento deprimido cuando mi maestro me sermonea.
2,数,かず,これまでに[数]{多}くの{勉強}をしてきた。,これまでに[かず]{おお}くの{べんきょう}をしてきた。,I have learned a lot so far.,He aprendido mucho hasta ahora.
2,数,かぞ,プリントを[数]えまちがえて{足}りなくなる。,プリントを[かぞ]えまちがえて{た}りなくなる。,I miscounted the prints and ran out.,Conté mal las huellas y salí corriendo.
2,数,すう,パスワードの[数]{字}を{入力}する。,パスワードの[すう]{じ}を{にゅうりょく}する。,Enter the password number.,Ingrese el número de contraseña.
2,新,あたら,{父}に[新]しいくつを{買}ってもらう。,{ちち}に[あたら]しいくつを{か}ってもらう。,I asked my father to buy me new shoes.,Le pedí a mi padre que me comprara zapatos nuevos.
2,新,あら,{気持}ちを[新]たにして{一学期}をむかえる。,{きも}ちを[あら]たにして{いちがっき}をむかえる。,I am heading into the first semester with a renewed sense of humor.,Me dirijo al primer semestre con un sentido del humor renovado.
2,新,しん,[新]{聞}でニュースをチェックする。,[しん]{ぶん}でニュースをチェックする。,Check the news in the newspaper.,Consulta las noticias en el periódico.
2,新,にい,[新]{潟県}で{大}きなイベントが{行}われる。,[にい]{がたけん}で{おお}きなイベントが{おこな}われる。,A big event will be held in Niigata Prefecture.,Se llevará a cabo un gran evento en la prefectura de Niigata.
2,方,かた,やれやれ、{仕}[方]ないなあ。,やれやれ、{し}[かた]ないなあ。,"Well, I guess I can't help it.","Bueno, no se puede evitar."
2,方,ほう,{私}が{住}んでいる{新潟県}は{中部地}[方]にあります。,{わたくし}が{す}んでいる{にいがたけん}は{ちゅうぶち}[ほう]にあります。,"Niigata Prefecture, where I live, is located in the Chubu region.","La prefectura de Niigata, donde vivo, está ubicada en la región de Chubu."
2,明,あ,{夜}が[明]けると{台風}は{過}ぎ{去}っていた。,{よる}が[あ]けると{たいふう}は{す}ぎ{さ}っていた。,"When night fell, the typhoon had passed.","Cuando cayó la noche, el tifón había pasado."
2,明,あ,{夜}になったので{部屋}に[明]かりをつける。,{よる}になったので{へや}に[あ]かりをつける。,"It's night, so I turn on the light in the room.","Es de noche, así que enciendo la luz de la habitación."
2,明,あか,{初日}の{出}で{空}が[明]るくなるのをながめる。,{はつひ}の{で}で{そら}が[あか]るくなるのをながめる。,Watch the sky brighten with the first sunrise.,Observa cómo el cielo se ilumina con el primer amanecer.
2,明,あき,{実験}によって{理論}の{正}しさを[明]らかにした。,{じっけん}によって{りろん}の{ただ}しさを[あき]らかにした。,The correctness of the theory was revealed through experiments.,La exactitud de la teoría fue revelada a través de experimentos.
2,明,みょう,{黒}い{雲}の{割}れ{目}からひとすじの{光}[明]が{差}す。,{くろ}い{くも}の{わ}れ{め}からひとすじの{こう}[みょう]が{さ}す。,A ray of light shines through the cracks in the black clouds.,Un rayo de luz brilla a través de las grietas de las nubes negras.
2,明,めい,ステージの{照}[明]でダンサーを{照}らす。,ステージの{しょう}[めい]でダンサーを{て}らす。,Illuminate the dancers with stage lights.,Ilumina a los bailarines con luces del escenario.
2,星,せい,{土}[星]の{輪}はほとんど{氷}でできている。,{ど}[せい]の{わ}はほとんど{こおり}でできている。,Saturn's rings are mostly made of ice.,Los anillos de Saturno están formados en su mayoría de hielo.
2,星,ほし,いなかでは{夜}の[星]がよく{見}える。,いなかでは{よる}の[ほし]がよく{み}える。,You can clearly see the stars at night in the countryside.,Puedes ver claramente las estrellas por la noche en el campo.
2,春,しゅん,[春]{分}の{日}を{過}ぎて{暖}かくなってきた。,[しゅん]{ぶん}の{ひ}を{す}ぎて{あたた}かくなってきた。,It's getting warmer after the vernal equinox.,Hace más calor después del equinoccio de primavera.
2,春,はる,{雪}がとけて[春]になる。,{ゆき}がとけて[はる]になる。,The snow melts and spring comes.,La nieve se derrite y llega la primavera.
2,昼,ちゅう,{今日}の[昼]{食}はラーメンだった。,{きょう}の[ちゅう]{しょく}はラーメンだった。,Today's lunch was ramen.,El almuerzo de hoy fue ramen.
2,昼,ひる,{今日}の[昼]{飯}は{何}にしよう。,{きょう}の[ひる]{めし}は{なん}にしよう。,What shall we have for lunch today?,¿Qué almorzaremos hoy?
2,時,じ,{親}から{学生当}[時]の{話}を{聞}く。,{おや}から{がくせいとう}[じ]の{はなし}を{き}く。,Hear from parents about their time as students.,Escuche a los padres sobre su época como estudiantes.
2,時,とき,タイムマシンで[時]をさかのぼる。,タイムマシンで[とき]をさかのぼる。,Go back in time with a time machine.,Retrocede en el tiempo con una máquina del tiempo.
2,晴,せい,{台風}が{過}ぎて{今日}は{快}[晴]だ。,{たいふう}が{す}ぎて{きょう}は{かい}[せい]だ。,The typhoon has passed and it's sunny today.,El tifón ha pasado y hoy hace sol.
2,晴,は,{見}[晴]らしのいい{所}に{家}を{建}てる。,{み}[は]らしのいい{ところ}に{いえ}を{た}てる。,Build a house in a place with a good view.,Construya una casa en un lugar con buena vista.
2,曜,よう,{毎週水}[曜]{日}には{習}い{事}がある。,{まいしゅうすい}[よう]{び}には{なら}い{ごと}がある。,I have lessons every Wednesday.,Tengo lecciones todos los miércoles.
2,書,か,{遠}くの{友達}に{手紙}を[書]く。,{とお}くの{ともだち}に{てがみ}を[か]く。,Write a letter to a distant friend.,Escribe una carta a un amigo lejano.
2,書,しょ,{図}[書]カードで{本}を{買}う。,{と}[しょ]カードで{ほん}を{か}う。,Buy books with your library card.,Compra libros con tu tarjeta de biblioteca.
2,朝,あさ,{毎}[朝]、ジョギングして{体}をきたえている。,{まい}[あさ]、ジョギングして{からだ}をきたえている。,I jog every morning to keep fit.,Salgo a correr todas las mañanas para mantenerme en forma.
2,朝,ちょう,[朝]{礼}の{最中}にいねむりしてしまう。,[ちょう]{れい}の{さいちゅう}にいねむりしてしまう。,I fall asleep during the morning assembly.,Me quedo dormido durante la asamblea de la mañana.
2,来,く,クラスに{教育実習生}がやって[来]る。,クラスに{きょういくじっしゅうせい}がやって[く]る。,A student teacher comes to class.,Un estudiante de profesor llega a clase.
2,来,らい,{今回}のフェスの[来]{場者数}は{五千人}にもなった。,{こんかい}のフェスの[らい]{じょうしゃすう}は{ごせんにん}にもなった。,"The number of visitors to this festival reached 5,000.",El número de visitantes a este festival alcanzó los 5.000.
2,東,とう,{国会議事堂}があるのは[東]{京都}だ。,{こっかいぎじどう}があるのは[とう]{きょうと}だ。,The National Diet Building is located in Tokyo.,El Edificio Nacional de la Dieta se encuentra en Tokio.
2,東,ひがし,[東]と{西}の{向}きをまちがえてしまう。,[ひがし]と{にし}の{む}きをまちがえてしまう。,The direction of east and west is confused.,La dirección del este y del oeste se confunde.
2,楽,たの,{修学旅行当日}を[楽]しみに{待}つ。,{しゅうがくりょこうとうじつ}を[たの]しみに{ま}つ。,I look forward to the day of the school trip.,Espero con ansias el día del viaje escolar.
2,楽,らく,まさる{君}とは、{気}[楽]に{話}せる{仲}のいい{関係}だ。,まさる{くん}とは、{き}[らく]に{はな}せる{なか}のいい{かんけい}だ。,"I have a good relationship with Masaru-kun, and I can talk to him easily.",Masaru y yo tenemos una buena relación y podemos hablar fácilmente.
2,歌,うた,{赤}ちゃんに{子}もり[歌]を{歌}ってあげる。,{あか}ちゃんに{こ}もり[うた]を{うた}ってあげる。,Sing a baby song to your baby.,Cántale una canción infantil a tu bebé.
2,歌,か,テレビに{父}の{好}きな[歌]{手}が{出}ていた。,テレビに{ちち}の{す}きな[か]{しゅ}が{で}ていた。,My father's favorite singer was on TV.,El cantante favorito de mi padre estaba en la televisión.
2,止,し,{雨}が{降}って{運動会}が{中}[止]になる。,{あめ}が{ふ}って{うんどうかい}が{ちゅう}[し]になる。,It's raining and the sports day is canceled.,Está lloviendo y se cancela la jornada deportiva.
2,止,と,{水}にもぐって{息}を[止]める。,{みず}にもぐって{いき}を[と]める。,Dive into the water and hold your breath.,Sumérgete en el agua y aguanta la respiración.
2,歩,あゆ,おたがいの[歩]み{寄}りで{問題}を{解決}する。,おたがいの[あゆ]み{よ}りで{もんだい}を{かいけつ}する。,Solve problems through mutual compromise.,Resolver problemas mediante el compromiso mutuo.
2,歩,ある,{観光地}めぐりをしていたら[歩]きつかれてしまった。,{かんこうち}めぐりをしていたら[ある]きつかれてしまった。,I got tired of walking while visiting tourist spots.,Me cansé de caminar mientras visitaba lugares turísticos.
2,歩,ほ,{交通}ルールは{原則}、[歩]{行者優先}だ。,{こうつう}ルールは{げんそく}、[ほ]{こうしゃゆうせん}だ。,Traffic rules generally give priority to pedestrians.,Las normas de tráfico suelen dar prioridad a los peatones.
2,母,はは,[母]の{日}に{何}をおくるか{父}に{相談}する。,[はは]の{ひ}に{なん}をおくるか{ちち}に{そうだん}する。,I consult my father about what to send for Mother's Day.,Consulto a mi padre sobre qué enviar para el Día de la Madre.
2,母,ぼ,ぼくの[母]{校}は 〇×{小学校}です。,ぼくの[ぼ]{こう}は 〇×{しょうがっこう}です。,My alma mater is 〇× Elementary School.,Mi alma mater es 〇× Escuela Primaria.
2,毎,まい,この{川原}では[毎]{年}、{花火大会}が{行}われる。,この{かわら}では[まい]{とし}、{はなびたいかい}が{おこな}われる。,A fireworks festival is held at this riverbank every year.,Cada año se celebra un festival de fuegos artificiales en esta orilla del río.
2,毛,け,ネコが[毛]{糸玉}を{転}がして{遊}んでいる。,ネコが[け]{いとたま}を{ころ}がして{あそ}んでいる。,A cat is playing with a ball of yarn.,Un gato juega con un ovillo de lana.
2,毛,もう,{冬}の{間}は{羽}[毛]{布団}でねている。,{ふゆ}の{あいだ}は{う}[もう]{ぶとん}でねている。,"During the winter, they sleep on duvets.",Durante el invierno duermen sobre edredones.
2,池,いけ,[池]にハスの{花}がたくさんさいている。,[いけ]にハスの{はな}がたくさんさいている。,There are many lotus flowers in the pond.,Hay muchas flores de loto en el estanque.
2,池,ち,リモコンの{電}[池]を{交}かんする。,リモコンの{でん}[ち]を{こう}かんする。,Replace the batteries in the remote control.,Reemplace las baterías del control remoto.
2,汽,き,{日本}に[汽]{車}が{初}めて{走}ったのは{明治時代}だ。,{にっぽん}に[き]{しゃ}が{はじ}めて{はし}ったのは{めいじじだい}だ。,Trains first ran in Japan during the Meiji era.,Los trenes circularon por primera vez en Japón durante la era Meiji.
2,活,かつ,{部}[活]{動}に{全力}で{取}り{組}む。,{ぶ}[かつ]{どう}に{ぜんりょく}で{と}り{く}む。,Participate in extracurricular activities with all your might.,Participa en actividades extraescolares con todas tus fuerzas.
2,海,うみ,どちらが{長}く[海]にもぐっていられるか{勝負}する。,どちらが{なが}く[うみ]にもぐっていられるか{しょうぶ}する。,A competition to see who can stay underwater the longest.,Una competición para ver quién puede permanecer más tiempo bajo el agua.
2,海,かい,コロンブスは{航}[海]をして、{新}しい{大陸}を{発見}した。,コロンブスは{こう}[かい]をして、{あたら}しい{たいりく}を{はっけん}した。,Columbus sailed and discovered new continents.,Colón navegó y descubrió nuevos continentes.
2,点,てん,{打}ち{上}げ{花火}に[点]{火}して、すぐはなれる。,{う}ち{あ}げ{はなび}に[てん]{か}して、すぐはなれる。,Light the fireworks and you'll be ready to go.,Enciende los fuegos artificiales y estarás listo para partir.
2,父,ちち,[父]の{日}におくり{物}をする。,[ちち]の{ひ}におくり{もの}をする。,Give a gift on Father's Day.,Regala un regalo el día del padre.
2,父,ふ,{授業参観}の{日}はいろんな{子}の[父]{母}が{来}る。,{じゅぎょうさんかん}の{ひ}はいろんな{こ}の[ふ]{ぼ}が{く}る。,Parents of all kinds of children come on class observation days.,Los padres de todo tipo de niños vienen los días de observación de clases.
2,牛,うし,{牧場}で[牛]の{乳}しぼりを{体験}する。,{ぼくじょう}で[うし]の{ちち}しぼりを{たいけん}する。,Experience milking a cow on a farm.,Experimenta ordeñar una vaca en una granja.
2,牛,ぎゅう,たくさんの[牛]{乳}を{使}っておかしを{作}る。,たくさんの[ぎゅう]{にゅう}を{つか}っておかしを{つく}る。,Make sweets using lots of milk.,Haz dulces con mucha leche.
2,理,り,{調}[理]{実習}のためのエプロンを{忘}れる。,{ちょう}[り]{じっしゅう}のためのエプロンを{わす}れる。,Forgetting an apron for cooking training.,Olvidar el delantal para las clases de cocina.
2,用,もち,{色}えんぴつを[用]いてリアルな{絵}をかく。,{いろ}えんぴつを[もち]いてリアルな{え}をかく。,Draw realistic pictures using colored pencils.,Haz dibujos realistas con lápices de colores.
2,用,よう,{私}の{家族}はみんな{不器}[用]で、さいほうが{苦手}だ。,{わたくし}の{かぞく}はみんな{ぶき}[よう]で、さいほうが{にがて}だ。,"Everyone in my family is clumsy, especially when it comes to walking.","Todos en mi familia somos torpes, especialmente cuando se trata de caminar."
2,画,かく,{温泉旅行}の{計}[画]を{家族}みんなで{話}し{合}う。,{おんせんりょこう}の{けい}[かく]を{かぞく}みんなで{はな}し{あ}う。,Discuss plans for a hot spring trip with the whole family.,Discuta los planes para un viaje a las aguas termales con toda la familia.
2,画,が,{先生}にたのまれて{図工室}から[画]{用紙}を{持}ってくる。,{せんせい}にたのまれて{ずこうしつ}から[が]{ようし}を{も}ってくる。,The teacher asked me to bring drawing paper from the art room.,La maestra me pidió que trajera papel de dibujo del salón de arte.
2,番,ばん,{相澤}くんの{出席}[番]{号}は{一番}だ。,{あいざわ}くんの{しゅっせき}[ばん]{ごう}は{いちばん}だ。,Aizawa-kun's attendance number is the highest.,El número de asistencia de Aizawa-kun es el más alto.
2,直,じき,{皿}を{割}ったことを{正}[直]にあやまる。,{さら}を{わ}ったことを{しょう}[じき]にあやまる。,I honestly apologize for breaking the plate.,Sinceramente me disculpo por romper el plato.
2,直,ただ,{新}しい{宿題}が{出}たら[直]ちに{取}り{組}んでいる。,{あたら}しい{しゅくだい}が{で}たら[ただ]ちに{と}り{く}んでいる。,"When new homework comes up, I work on it immediately.","Cuando surge una nueva tarea, trabajo en ella inmediatamente."
2,直,ちょく,{定規}を{使}って[直]{線}を{引}く。,{じょうぎ}を{つか}って[ちょく]{せん}を{ひ}く。,Draw a straight line using a ruler.,Dibuja una línea recta usando una regla.
2,直,なお,こわれたイスをあっという{間}に[直]した。,こわれたイスをあっという{ま}に[なお]した。,I fixed the broken chair in no time.,Reparé la silla rota en poco tiempo.
2,矢,や,{看板}の[矢]{印}をたどって、お{店}に{向}かう。,{かんばん}の[や]{じるし}をたどって、お{みせ}に{む}かう。,Follow the arrow on the signboard and head to the store.,Sigue la flecha del letrero y dirígete a la tienda.
2,知,し,[知]り{合}いといっしょにお{昼}ご{飯}を{食}べる。,[し]り{あ}いといっしょにお{ひる}ご{はん}を{た}べる。,Eat lunch with a friend.,Almuerza con un amigo.
2,知,ち,スマホにメールの{通}[知]が{届}く。,スマホにメールの{つう}[ち]が{とど}く。,You will receive an email notification on your smartphone.,Recibirá una notificación por correo electrónico en su teléfono inteligente.
2,社,しゃ,{大人}になって{会}[社]に{就職}する。,{おとな}になって{かい}[しゃ]に{しゅうしょく}する。,Grow up and get a job at a company.,Crece y consigue un trabajo en una empresa.
2,社,やしろ,お[社]をこわして{神様}にたたられる。,お[やしろ]をこわして{かみさま}にたたられる。,Demolish the shrine and be defeated by God.,Derribar el santuario y ser derrotado por Dios.
2,秋,あき,[秋]になって{山}がきれいな{赤色}になる。,[あき]になって{やま}がきれいな{あかいろ}になる。,"In autumn, the mountains turn a beautiful red.","En otoño, las montañas se tiñen de un hermoso color rojo."
2,秋,しゅう,{最近}すずしくなってきた。もうすぐ[秋]{分}だね。,{さいきん}すずしくなってきた。もうすぐ[しゅう]{ぶん}だね。,It's been getting cooler lately. It's almost the autumn equinox.,Últimamente hace más frío. Es casi el equinoccio de otoño.
2,科,か,{教}[科]{書}に{落書}きしていたらおこられた。,{きょう}[か]{しょ}に{らくが}きしていたらおこられた。,It happened while I was doodling in my textbook.,Sucedió mientras estaba garabateando en mi libro de texto.
2,答,こた,{他}の{人}の[答]えをぬすみ{見}たのがばれる。,{ほか}の{ひと}の[こた]えをぬすみ{み}たのがばれる。,You will be found out if you secretly looked at someone else's answer.,Lo descubrirán si miró en secreto la respuesta de otra persona.
2,答,こた,{先生}からの{質問}に[答]える。,{せんせい}からの{しつもん}に[こた]える。,Answer questions from the teacher.,Responder preguntas del profesor.
2,答,とう,テストの{一週間後}に[答]{案}が{返}ってくる。,テストの{いちしゅうかんご}に[とう]{あん}が{かえ}ってくる。,You will receive your answers one week after the test.,Recibirás tus respuestas una semana después de la prueba.
2,算,さん,おつりを{計}[算]して{客}にわたす。,おつりを{けい}[さん]して{きゃく}にわたす。,Calculate the change and give it to the customer.,Calcula el cambio y dáselo al cliente.
2,米,こめ,[米]{俵}を{持}って{年}ぐを{納}めに{行}く。,[こめ]{だわら}を{も}って{ねん}ぐを{おさ}めに{い}く。,I bring a bag of rice with me and go to pay my dues.,Traigo una bolsa de arroz y voy a pagar mis cuotas.
2,米,べい,アメリカは「[米]{国}」とよばれることがある。,アメリカは「[べい]{こく}」とよばれることがある。,"America is sometimes called ""United States.""","A Estados Unidos a veces se le llama ""Estados Unidos""."
2,米,まい,{母}は{最近}、{無洗}[米]を{買}っているらしい。,{はは}は{さいきん}、{むせん}[まい]を{か}っているらしい。,My mother seems to have been buying unwashed rice recently.,Parece que mi madre ha estado comprando arroz sin lavar recientemente.
2,紙,かみ,[紙]で{手}を{切}ってしまう。,[かみ]で{て}を{き}ってしまう。,I cut my hand on paper.,Me corté la mano en papel.
2,紙,し,{本}の{表}[紙]をよごしてしまった。,{ほん}の{ひょう}[し]をよごしてしまった。,I messed up the cover of the book.,Arruiné la portada del libro.
2,細,こま,{玉}ねぎを[細]かく{切}り{刻}む。,{たま}ねぎを[こま]かく{き}り{きざ}む。,Finely chop the onion.,Picar finamente la cebolla.
2,細,さい,{宝石}がニセ{物}ではないか、[細]{部}まで{調}べる。,{ほうせき}がニセ{もの}ではないか、[さい]{ぶ}まで{しら}べる。,Check every detail to see if the jewelry is fake.,Revisa cada detalle para ver si las joyas son falsas.
2,細,ほそ,{森}で{拾}った[細]{長}い{枝}をふり{回}す。,{もり}で{ひろ}った[ほそ]{なが}い{えだ}をふり{まわ}す。,He swings around a long thin branch he picked up in the forest.,Se balancea alrededor de una rama larga y delgada que recogió en el bosque.
2,組,く,{冷蔵庫}の{仕}[組]みを{本}で{調}べる。,{れいぞうこ}の{し}[く]みを{ほん}で{しら}べる。,Find out how a refrigerator works in a book.,Descubra cómo funciona un frigorífico en un libro.
2,組,くみ,クラスがえで{三}[組]になる。,クラスがえで{さん}[くみ]になる。,The class is divided into three groups.,La clase se divide en tres grupos.
